id,text
0,Привет !
1,"Меня зовут Владислав Ефимов , я работаю в команде ВК Рекламы ."
2,"Прежде чем приступить к изучению языка , я кратко расскажу о преимуществах этого языка программирования , какие задачи можно с помощью него решать и в каких IT - профессиях он используется ."
3,Начнем с отличительных преимуществ языка .
4,"Во-первых , это простой для понимания использование язык ."
5,"У языка Python , пожалуй , один из самых простых и понятных синтаксисов относительно других языков ."
6,"Во-вторых , язык интерпретируемый ."
7,"Это значит , что вы можете написать код и сразу его запустить , не прибегая к шагу компиляции ."
8,"Он позволяет исполнять код строка за строкой , что бывает очень удобно и полезно при разработке и исследованиях ."
9,"В-третьих , это популярный язык , а значит для него существует множество готовых библиотек , которые решают реальные задачи , а не придется придумывать и писать какие-то вещи с нуля ."
10,"В-четвертых , популярность языка также означает большое сообщество разработчиков и энтузиастов ."
11,"Из-за этого в сети можно найти много гайдов , обсуждений , обучающих материалов и многого другого ."
12,"И в-пятых , портативность ."
13,"Код на Python , написанный на одной платформе , например , на Mac , спокойно запустится на другой , например , на Windows ."
14,"Если говорить об областях применения , то язык Python применяется во многих , например , в областях , например , во-первых , это веб-разработка ."
15,Можно строить бэкэнд - веб-приложения в качестве веб-разработчика .
16,"Большой набор библиотек и встроенных инструментов позволяет построить как небольшое приложение , так и большой сложный сервис с базами данных и микросервисами ."
17,"Во-вторых , машинное обучение и искусственный интеллект ."
18,В качестве ML-специалиста можно разрабатывать различные решения на этом языке .
19,От простых статистических моделей до сложных нейронных сетей .
20,"А скомбинировав это с разработкой веб-приложения , можно создать свой неповторимый онлайн - сервис ."
21,"В-третьих , анализ данных ."
22,"Аналитикам данных Python помогает проверки гипотез , визуализации и обработки данных ."
23,"Что немаловажно , все это получается делать быстро и удобно с понятным и несложным синтаксисом Python ."
24,"В-четвертых , автоматизация тестирования ."
25,"И , конечно , как и любой код , код на Python , особенно если это уже не маленький проект , нуждается в тестировании ."
26,Поэтому профессия тестировщика Python тоже очень актуальна .
27,"И , как и во всех предыдущих предыдущих , для тестирования существует множество готовых библиотек ."
28,Теперь перейдем к изучению языка .
29,"На этом уроке вы узнаете об интерпретаторе Python , про его интерактивный режим и запуск отдельных файлов с кодом , о базовых понятиях языка , таких как литерал переменная , об IDE PyCharm и как начать в ней работать , о получении данных со стандартного ввода ."
30,"Теперь поговорим немного о базовых вещах , а именно об интерпретаторе Python ."
31,Что такое интерпретатор ?
32,"Это программа , выполняющая обосроченный анализ , обработку и выполнение исходного кода Python ."
33,"Если вы уже проследовали инструкцию , которая была приложена к этому уроку , вы уже должны были по инструкции установить интерпретатор Python и IDE PyCharm ."
34,Давайте начнем с интерпретатора .
35,"Для того , чтобы запустить интерпретатор , нам нужно открыть терминал и написать там ключевое слово Python ."
36,"Если вы все правильно сделали , у вас откроется интерактивная среда Python ."
37,В ней вы можете выполнять код строка за строкой .
38,"Например , вы можете вывести какую-нибудь строку ."
39,Это делается с помощью функции print .
40,Давайте выведем стандартный для начала курсов всех по языкам программирования Hello World .
41,"Видим , что после нашего ввода на выводе появилась Hello World ."
42,"На самом деле , можно вывести , чтобы в таком режиме выполнять все конструкции языка , даже если они в одну строку не помещаются ."
43,Об этом мы поговорим чуть позже .
44,"А теперь давайте поговорим о том , как запустить исходный код Python с помощью интерпретатора , но уже не в интерактивном режиме ."
45,"Для этого давайте откроем любой текстовый редактор , который вам удобен ."
46,В моем случае это Sublime Text .
47,И напишем тоже текст .
48,Принт Hello World .
49,Сохраним это .
50,Отлично .
51,Мы сохранили это в файле hello.py .
52,Давайте теперь вернемся в терминал .
53,Я это сохранил в папку example .
54,Посмотрим .
55,Вот он наш hello.py .
56,"Чтобы запустить исходный код через файл , нужно написать также ключевое слово Python ."
57,И указать файл вместе с расширением hello.py .
58,"Видим , что на стандартный вывод вывелся Hello World ."
59,"Это абсолютно аналогично тому , что мы делали в интерактивной среде ."
60,Мы сейчас рассмотрели варианты разработки в интерактивной среде и в текстовом файле .
61,Но для промышленной разработки такие варианты не подходят .
62,"Но на самом деле , конечно , можно ."
63,В текстовом редакторе все делать .
64,"Но существует такое понятие , как интерактивная среда разработки IDE ."
65,Чем они полезны ?
66,"Как минимум , это текстовый редактор тоже ."
67,"Во-вторых , они предлагают разные инструменты для запуска и отладки вашего кода ."
68,А также помогают вам с синтаксисом языка .
69,То есть с переносами .
70,"Где-то вы описались , что-то забыли , опечатались ."
71,Вам эта интерактивная среда подсветит .
72,И предложит иногда даже варианты исправления .
73,Вы уже по инструкции должны были установить IDE PageArm .
74,"Давайте ее откроем , запустим ."
75,"Для вас будет приветствовать такое окно , в котором можно создать либо новый проект ."
76,Давайте попробуем .
77,"Здесь мы выбираем , во-первых , куда мы его сохраним ."
78,Тут некоторые значения по умолчанию нам подсказывает сама IDE .
79,Но обычно мы хотим в какой-то другой проект .
80,"Если мы хотим его сохранить , то можно это выбрать ."
81,И также нужно выбрать интерпретатор .
82,"Скорее всего , у вас будет один из вариантов ."
83,"Тот , что вы установили ."
